"region_id","data_origin_id","response_id","year","percentage"
0,1,0,2007,0.798951955
1,1,0,2007,0.560716222
2,1,0,2007,0.8186011559999999
3,1,0,2007,0.39213338799999997
4,1,0,2007,0.785555358
5,1,0,2007,0.769989589
6,1,0,2007,0.188506927
7,1,0,2007,0.658220769
8,1,0,2007,0.921439145
9,1,0,2007,0.781172018
10,1,0,2007,0.351859225
11,1,0,2007,0.604327579
12,1,0,2007,0.44521128200000004
13,1,0,2007,0.380143661
14,1,0,2007,0.20722464699999998
15,1,0,2007,0.689274394
16,1,0,2007,0.551502146
17,1,0,2007,0.453288254
18,1,0,2007,0.6811882370000001
19,1,0,2007,0.540315896
20,1,0,2007,0.7479693590000001
21,1,0,2007,0.665491863
22,1,0,2007,0.38349898
23,1,0,2007,0.361523848
24,1,0,2007,0.574158101
0,1,0,2017,0.29730636
1,1,0,2017,0.18405858600000002
2,1,0,2017,0.283336507
3,1,0,2017,0.070280738
4,1,0,2017,0.21567096300000002
5,1,0,2017,0.24720683100000002
6,1,0,2017,0.045885482000000005
7,1,0,2017,0.219433087
8,1,0,2017,0.315040842
9,1,0,2017,0.25099901199999997
10,1,0,2017,0.095984675
11,1,0,2017,0.18051087600000001
12,1,0,2017,0.130954566
13,1,0,2017,0.106975374
14,1,0,2017,0.044265262
15,1,0,2017,0.323364771
16,1,0,2017,0.100188351
17,1,0,2017,0.10630148099999999
18,1,0,2017,0.217523881
19,1,0,2017,0.202412896
20,1,0,2017,0.283883856
21,1,0,2017,0.171567923
22,1,0,2017,0.082419265
23,1,0,2017,0.109348541
24,1,0,2017,0.21227588
0,1,1,2007,0.201048045
1,1,1,2007,0.43928377799999996
2,1,1,2007,0.18139884399999998
3,1,1,2007,0.607866612
4,1,1,2007,0.214444642
5,1,1,2007,0.23001041100000003
6,1,1,2007,0.811493073
7,1,1,2007,0.341779231
8,1,1,2007,0.078560855
9,1,1,2007,0.218827982
10,1,1,2007,0.648140775
11,1,1,2007,0.395672421
12,1,1,2007,0.554788718
13,1,1,2007,0.619856339
14,1,1,2007,0.792775353
15,1,1,2007,0.310725606
16,1,1,2007,0.448497854
17,1,1,2007,0.546711746
18,1,1,2007,0.318811763
19,1,1,2007,0.459684104
20,1,1,2007,0.252030641
21,1,1,2007,0.334508137
22,1,1,2007,0.61650102
23,1,1,2007,0.6384761520000001
24,1,1,2007,0.42584189899999997
0,1,1,2017,0.70269364
1,1,1,2017,0.8159414140000001
2,1,1,2017,0.716663493
3,1,1,2017,0.929719262
4,1,1,2017,0.784329037
5,1,1,2017,0.752793169
6,1,1,2017,0.954114518
7,1,1,2017,0.7805669129999999
8,1,1,2017,0.684959158
9,1,1,2017,0.7490009879999999
10,1,1,2017,0.904015325
11,1,1,2017,0.8194891240000001
12,1,1,2017,0.869045434
13,1,1,2017,0.893024626
14,1,1,2017,0.955734738
15,1,1,2017,0.6766352290000001
16,1,1,2017,0.8998116490000001
17,1,1,2017,0.8936985190000001
18,1,1,2017,0.782476119
19,1,1,2017,0.7975871040000001
20,1,1,2017,0.716116144
21,1,1,2017,0.828432077
22,1,1,2017,0.917580735
23,1,1,2017,0.8906514590000001
24,1,1,2017,0.78772412
0,1,2,2007,0.006740581
1,1,2,2007,0.033884815
2,1,2,2007,0.009103293
3,1,2,2007,0.068194726
4,1,2,2007,0.014698401000000002
5,1,2,2007,0.016411099999999998
6,1,2,2007,0.105677635
7,1,2,2007,0.022353886
8,1,2,2007,0.0036785240000000003
9,1,2,2007,0.014867400000000001
10,1,2,2007,0.042344106
11,1,2,2007,0.021769816
12,1,2,2007,0.056940251
13,1,2,2007,0.051978875
14,1,2,2007,0.145067373
15,1,2,2007,0.018767822
16,1,2,2007,0.009165636
17,1,2,2007,0.051202672000000005
18,1,2,2007,0.012453468
19,1,2,2007,0.032528837000000005
20,1,2,2007,0.009762487
21,1,2,2007,0.020530273999999998
22,1,2,2007,0.059196642
23,1,2,2007,0.02539746
24,1,2,2007,0.026792603999999998
0,1,2,2017,0.044549383
1,1,2,2017,0.183261547
2,1,2,2017,0.089259647
3,1,2,2017,0.32875621
4,1,2,2017,0.10417867199999999
5,1,2,2017,0.092872237
6,1,2,2017,0.44206094
7,1,2,2017,0.169189194
8,1,2,2017,0.049331245999999995
9,1,2,2017,0.10851753
10,1,2,2017,0.27420411899999997
11,1,2,2017,0.163562693
12,1,2,2017,0.27294225899999996
13,1,2,2017,0.287287167
14,1,2,2017,0.472277435
15,1,2,2017,0.127376262
16,1,2,2017,0.164396793
17,1,2,2017,0.25019490899999997
18,1,2,2017,0.095755596
19,1,2,2017,0.175351035
20,1,2,2017,0.07452122900000001
21,1,2,2017,0.145003234
22,1,2,2017,0.292664484
23,1,2,2017,0.211971628
24,1,2,2017,0.156695786
0,1,3,2007,0.993259419
1,1,3,2007,0.966115185
2,1,3,2007,0.990896707
3,1,3,2007,0.931805274
4,1,3,2007,0.985301599
5,1,3,2007,0.9835889000000001
6,1,3,2007,0.894322365
7,1,3,2007,0.977646114
8,1,3,2007,0.996321476
9,1,3,2007,0.9851325999999999
10,1,3,2007,0.9576558940000001
11,1,3,2007,0.9782301840000001
12,1,3,2007,0.9430597490000001
13,1,3,2007,0.948021125
14,1,3,2007,0.8549326270000001
15,1,3,2007,0.981232178
16,1,3,2007,0.990834364
17,1,3,2007,0.9487973279999999
18,1,3,2007,0.987546532
19,1,3,2007,0.967471163
20,1,3,2007,0.990237513
21,1,3,2007,0.9794697259999999
22,1,3,2007,0.9408033579999999
23,1,3,2007,0.97460254
24,1,3,2007,0.973207396
0,1,3,2017,0.955450617
1,1,3,2017,0.8167384529999999
2,1,3,2017,0.910740353
3,1,3,2017,0.67124379
4,1,3,2017,0.8958213279999999
5,1,3,2017,0.907127763
6,1,3,2017,0.55793906
7,1,3,2017,0.8308108059999999
8,1,3,2017,0.9506687540000001
9,1,3,2017,0.89148247
10,1,3,2017,0.7257958809999999
11,1,3,2017,0.8364373070000001
12,1,3,2017,0.727057741
13,1,3,2017,0.712712833
14,1,3,2017,0.527722565
15,1,3,2017,0.8726237379999999
16,1,3,2017,0.835603207
17,1,3,2017,0.7498050909999999
18,1,3,2017,0.9042444040000001
19,1,3,2017,0.824648965
20,1,3,2017,0.925478771
21,1,3,2017,0.854996766
22,1,3,2017,0.7073355159999999
23,1,3,2017,0.788028372
24,1,3,2017,0.8433042140000001
0,1,4,2007,0.034497214
1,1,4,2007,0.106275977
2,1,4,2007,0.032589599999999996
3,1,4,2007,0.123965769
4,1,4,2007,0.025498477000000002
5,1,4,2007,0.024538644
6,1,4,2007,0.285722213
7,1,4,2007,0.053530894
8,1,4,2007,0.007490006
9,1,4,2007,0.038394077
10,1,4,2007,0.07449067599999999
11,1,4,2007,0.054538319
12,1,4,2007,0.12621543400000002
13,1,4,2007,0.105706359
14,1,4,2007,0.315740852
15,1,4,2007,0.08634107
16,1,4,2007,0.139594093
