"region","data_origin","year","variable","response","percentage"
"Amazonas","INEI",2007,"Acceso a TIC","No accede",0.798951955
"Ancash","INEI",2007,"Acceso a TIC","No accede",0.560716222
"Apurimac","INEI",2007,"Acceso a TIC","No accede",0.818601156
"Arequipa","INEI",2007,"Acceso a TIC","No accede",0.392133388
"Ayacucho","INEI",2007,"Acceso a TIC","No accede",0.785555358
"Cajamarca","INEI",2007,"Acceso a TIC","No accede",0.769989589
"Callao","INEI",2007,"Acceso a TIC","No accede",0.188506927
"Cusco","INEI",2007,"Acceso a TIC","No accede",0.658220769
"Huancavelica","INEI",2007,"Acceso a TIC","No accede",0.921439145
"Huanuco","INEI",2007,"Acceso a TIC","No accede",0.781172018
"Ica","INEI",2007,"Acceso a TIC","No accede",0.351859225
"Junin","INEI",2007,"Acceso a TIC","No accede",0.604327579
"La Libertad","INEI",2007,"Acceso a TIC","No accede",0.445211282
"Lambayeque","INEI",2007,"Acceso a TIC","No accede",0.380143661
"Lima","INEI",2007,"Acceso a TIC","No accede",0.207224647
"Loreto","INEI",2007,"Acceso a TIC","No accede",0.689274394
"Madre De Dios","INEI",2007,"Acceso a TIC","No accede",0.551502146
"Moquegua","INEI",2007,"Acceso a TIC","No accede",0.453288254
"Pasco","INEI",2007,"Acceso a TIC","No accede",0.681188237
"Piura","INEI",2007,"Acceso a TIC","No accede",0.540315896
"Puno","INEI",2007,"Acceso a TIC","No accede",0.747969359
"San Martin","INEI",2007,"Acceso a TIC","No accede",0.665491863
"Tacna","INEI",2007,"Acceso a TIC","No accede",0.38349898
"Tumbes","INEI",2007,"Acceso a TIC","No accede",0.361523848
"Ucayali","INEI",2007,"Acceso a TIC","No accede",0.574158101
"Amazonas","INEI",2017,"Acceso a TIC","No accede",0.29730636
"Ancash","INEI",2017,"Acceso a TIC","No accede",0.184058586
"Apurimac","INEI",2017,"Acceso a TIC","No accede",0.283336507
"Arequipa","INEI",2017,"Acceso a TIC","No accede",0.070280738
"Ayacucho","INEI",2017,"Acceso a TIC","No accede",0.215670963
"Cajamarca","INEI",2017,"Acceso a TIC","No accede",0.247206831
"Callao","INEI",2017,"Acceso a TIC","No accede",0.045885482
"Cusco","INEI",2017,"Acceso a TIC","No accede",0.219433087
"Huancavelica","INEI",2017,"Acceso a TIC","No accede",0.315040842
"Huanuco","INEI",2017,"Acceso a TIC","No accede",0.250999012
"Ica","INEI",2017,"Acceso a TIC","No accede",0.095984675
"Junin","INEI",2017,"Acceso a TIC","No accede",0.180510876
"La Libertad","INEI",2017,"Acceso a TIC","No accede",0.130954566
"Lambayeque","INEI",2017,"Acceso a TIC","No accede",0.106975374
"Lima","INEI",2017,"Acceso a TIC","No accede",0.044265262
"Loreto","INEI",2017,"Acceso a TIC","No accede",0.323364771
"Madre De Dios","INEI",2017,"Acceso a TIC","No accede",0.100188351
"Moquegua","INEI",2017,"Acceso a TIC","No accede",0.106301481
"Pasco","INEI",2017,"Acceso a TIC","No accede",0.217523881
"Piura","INEI",2017,"Acceso a TIC","No accede",0.202412896
"Puno","INEI",2017,"Acceso a TIC","No accede",0.283883856
"San Martin","INEI",2017,"Acceso a TIC","No accede",0.171567923
"Tacna","INEI",2017,"Acceso a TIC","No accede",0.082419265
